sqrtN,volume,se
8.0000000000,20.0,19.84313483298443
11.3137084990,10.0,9.960860906568268
16.0000000000,5.0,4.9902248195847845
22.6274169980,2.5,2.4975574004915284
32.0000000000,1.25,1.249389499353084
45.2548339959,1.25,0.8834517873358314
64.0000000000,0.9375,0.5410676235728844
90.5096679919,0.625,0.31242369673918735
128.0000000000,0.703125,0.2343106181409252
181.0193359838,0.9765625,0.19523797997775244
256.0000000000,1.015625,0.1407859596328377
362.0386719675,0.99609375,0.09858959438521873
512.0000000000,1.1328125,0.07433986663206645
724.0773439350,1.015625,0.04977535337611753
1024.0000000000,1.046142578125,0.03572094342972021
1448.1546878700,1.0333251953125,0.025103436008406192
2048.0000000000,1.03485107421875,0.01776390043327299
2896.3093757401,1.0308837890625,0.012536893418669278
4096.0000000000,1.030120849609375,0.008861643998619162
